"UF","Estado","Regiao","Sexo","TipoDeTrabalho","Quantidade"
MG,Minas Gerais,Sudeste,"2",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,14699
MG,Minas Gerais,Sudeste,"2",EDUCAÇÃO,3295
MG,Minas Gerais,Sudeste,"2",INDÚSTRIAS DE TRANSFORMAÇÃO,9025
MG,Minas Gerais,Sudeste,"2",OUTRAS ATIVIDADES DE SERVIÇOS,9179
MG,Minas Gerais,Sudeste,"2",SAÚDE HUMANA E SERVIÇOS SOCIAIS,1795
MG,Minas Gerais,Sudeste,"2",SERVIÇOS DOMÉSTICOS,14004
MG,Minas Gerais,Sudeste,"2","TRANSPORTE, ARMAZENAGEM E CORREIO",944
MS,Mato Grosso do Sul,Centro-Oeste,"1","ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",393
MS,Mato Grosso do Sul,Centro-Oeste,"1","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1054
MS,Mato Grosso do Sul,Centro-Oeste,"1",ALOJAMENTO E ALIMENTAÇÃO,1457
MS,Mato Grosso do Sul,Centro-Oeste,"1",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,5309
MS,Mato Grosso do Sul,Centro-Oeste,"1",CONSTRUÇÃO,635
MS,Mato Grosso do Sul,Centro-Oeste,"1",EDUCAÇÃO,1044
MS,Mato Grosso do Sul,Centro-Oeste,"1",INDÚSTRIAS DE TRANSFORMAÇÃO,983
MS,Mato Grosso do Sul,Centro-Oeste,"1",OUTRAS ATIVIDADES DE SERVIÇOS,648
MS,Mato Grosso do Sul,Centro-Oeste,"1",SAÚDE HUMANA E SERVIÇOS SOCIAIS,487
MS,Mato Grosso do Sul,Centro-Oeste,"1",SERVIÇOS DOMÉSTICOS,770
MS,Mato Grosso do Sul,Centro-Oeste,"1","TRANSPORTE, ARMAZENAGEM E CORREIO",335
MS,Mato Grosso do Sul,Centro-Oeste,"2",ALOJAMENTO E ALIMENTAÇÃO,1702
MS,Mato Grosso do Sul,Centro-Oeste,"2","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",603
MS,Mato Grosso do Sul,Centro-Oeste,"2",COMÉRCIO;REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,2511
MS,Mato Grosso do Sul,Centro-Oeste,"2",EDUCAÇÃO,1052
MS,Mato Grosso do Sul,Centro-Oeste,"2",INDÚSTRIAS DE TRANSFORMAÇÃO,225
MS,Mato Grosso do Sul,Centro-Oeste,"2",OUTRAS ATIVIDADES DE SERVIÇOS,1774
MS,Mato Grosso do Sul,Centro-Oeste,"2",SAÚDE HUMANA E SERVIÇOS SOCIAIS,239
